 0     6    28.13    4.72e-04   -2.15e-04    3.70e-04     -2.11     -0.55      0.42
  6    13   774.85    2.81e-03   -5.60e-04    6.77e-04     -2.04     -0.18      0.16
 13    18   544.20    3.43e-03   -7.52e-04    8.64e-04     -2.05     -0.19      0.18
 18    22   505.88    1.16e-03   -3.47e-04    4.47e-04     -1.63     -0.21      0.19
 22    25    40.86    1.09e-03   -4.55e-04    6.88e-04     -1.81     -0.37      0.31
 25   100   286.71    3.07e-04   -5.06e-05    5.85e-05     -2.08     -0.15      0.14
100   300   160.10    5.15e-05   -1.02e-05    1.23e-05     -2.18     -0.20      0.18
300   600    83.19    1.24e-05   -3.68e-06    4.72e-06     -2.07     -0.29      0.26
600  1000    34.25    8.49e-06   -3.25e-06    4.38e-06     -2.39     -0.44      0.37
